id_sensor,id_silo,ubicacion,temp,humedad,co2,fecha,hora
1,Silo 1,superior,13.494585742037486,8.1890562320206,3.1646517131074754,2025-01-06,00:00:00
2,Silo 1,medio,11.210830017392947,8.508008205583181,2.7287650093770344,2025-01-06,00:00:00
3,Silo 1,inferior,14.311820791894403,8.99350986589767,2.5503299918082507,2025-01-06,00:00:00
1,Silo 1,superior,10.789626882000064,9.241362888464824,3.8908614699900834,2025-01-06,12:00:00
2,Silo 1,medio,10.52441694564887,10.41143726998343,2.766440716167172,2025-01-06,12:00:00
3,Silo 1,inferior,11.140384038717864,8.040060548264346,2.64121207257764,2025-01-06,12:00:00
1,Silo 1,superior,5.092145339845303,,,2025-02-06,00:00:00
2,Silo 1,medio,,,3.8926290197560736,2025-02-06,00:00:00
3,Silo 1,inferior,,,,2025-02-06,00:00:00
1,Silo 1,superior,22.514616155356983,,2.60315504880456,2025-02-06,12:00:00
2,Silo 1,medio,,,,2025-02-06,12:00:00
3,Silo 1,inferior,12.427880723061628,,1.268182203215127,2025-02-06,12:00:00
1,Silo 1,superior,12.817027893156284,9.088637763307853,3.0095209547583144,2025-03-06,00:00:00
2,Silo 1,medio,14.893219795195677,11.511442481896191,3.689848625287943,2025-03-06,00:00:00
3,Silo 1,inferior,12.594615394637383,8.702005395975284,3.5743094936259845,2025-03-06,00:00:00
1,Silo 1,superior,13.123656198577752,10.512497665856728,3.66187945122663,2025-03-06,12:00:00
2,Silo 1,medio,11.701956634196062,9.54547160183839,3.3733916618835926,2025-03-06,12:00:00
3,Silo 1,inferior,11.329716441094996,9.61798370187645,2.660011824597268,2025-03-06,12:00:00
1,Silo 1,superior,7.501288621336473,12.894898190989029,2.634710308245785,2025-04-06,00:00:00
2,Silo 1,medio,,,2.3428150687068574,2025-04-06,00:00:00
3,Silo 1,inferior,13.688172202114774,13.204810263785433,,2025-04-06,00:00:00
1,Silo 1,superior,,,,2025-04-06,12:00:00
2,Silo 1,medio,,5.2939277990821445,3.667376717330395,2025-04-06,12:00:00
3,Silo 1,inferior,,15.148463501218483,3.7860264683486937,2025-04-06,12:00:00
1,Silo 1,superior,10.42361234980097,11.89062636885658,3.820570158100278,2025-05-06,00:00:00
2,Silo 1,medio,14.94094587816787,11.966810836531105,2.895510479091578,2025-05-06,00:00:00
3,Silo 1,inferior,11.83818901381778,10.616666804344248,3.6098756464345287,2025-05-06,00:00:00
1,Silo 1,superior,10.705909411952096,8.75929556808646,3.902383428508987,2025-05-06,12:00:00
2,Silo 1,medio,11.120924004400988,9.581617968351049,2.511718552207019,2025-05-06,12:00:00
3,Silo 1,inferior,12.162967451480782,11.347658582608224,2.771099085267996,2025-05-06,12:00:00
1,Silo 1,superior,,,,2025-06-06,00:00:00
2,Silo 1,medio,24.708150266985594,,,2025-06-06,00:00:00
3,Silo 1,inferior,16.838333221410373,14.84637743734326,2.970866316662579,2025-06-06,00:00:00
1,Silo 1,superior,21.52324202671702,,4.667135228840214,2025-06-06,12:00:00
2,Silo 1,medio,7.254612240668217,18.820974720531023,,2025-06-06,12:00:00
3,Silo 1,inferior,24.259397348400583,,1.668990256188351,2025-06-06,12:00:00
1,Silo 1,superior,14.078939115561276,9.592288521255952,2.903271616223612,2025-07-06,00:00:00
2,Silo 1,medio,10.435397299012164,10.848171606420037,2.6887335820722136,2025-07-06,00:00:00
3,Silo 1,inferior,10.7294548219615,8.433325440616196,2.551062553555488,2025-07-06,00:00:00
1,Silo 1,superior,10.953751245318363,8.192529486258849,3.424740816667671,2025-07-06,12:00:00
2,Silo 1,medio,14.886672058848358,10.248552996800058,3.069514757551139,2025-07-06,12:00:00
3,Silo 1,inferior,10.615168797167986,11.092360700679496,3.96914804921924,2025-07-06,12:00:00
1,Silo 1,superior,12.09462230032577,,,2025-08-06,00:00:00
2,Silo 1,medio,18.47179148394288,11.714640641081443,,2025-08-06,00:00:00
3,Silo 1,inferior,11.121159877709845,12.979248975487426,,2025-08-06,00:00:00
1,Silo 1,superior,,12.914854673239851,2.997191370584092,2025-08-06,12:00:00
2,Silo 1,medio,13.160903955838922,,,2025-08-06,12:00:00
3,Silo 1,inferior,15.826322970108333,,5.804061164017647,2025-08-06,12:00:00
1,Silo 1,superior,14.51461065428628,11.792270457281695,2.5787101808125668,2025-09-06,00:00:00
2,Silo 1,medio,12.371794781392529,8.344602935360351,3.3037016485614976,2025-09-06,00:00:00
3,Silo 1,inferior,14.437647736445316,10.828017326662184,3.7292998867405673,2025-09-06,00:00:00
1,Silo 1,superior,12.590785300275463,10.335944408731056,3.878011810786014,2025-09-06,12:00:00
2,Silo 1,medio,11.75117225861148,8.551662932458095,2.5980424889583187,2025-09-06,12:00:00
3,Silo 1,inferior,11.54793247437928,8.955705940717548,2.842998759205458,2025-09-06,12:00:00
1,Silo 1,superior,19.293041849169228,10.035921211462622,4.396400526080022,2025-10-06,00:00:00
