Fecha y hora,ID sensor,ID silo,Ubicación,Temperatura (°C),Humedad (%),CO2 (%)
2025-06-01 00:00:00,1,Silo 1,superior,13.494585742037486,8.1890562320206,3.1646517131074754
2025-06-01 00:00:00,2,Silo 1,medio,11.210830017392947,8.508008205583181,2.7287650093770344
2025-06-01 00:00:00,3,Silo 1,inferior,14.311820791894405,8.99350986589767,2.5503299918082507
2025-06-01 00:00:00,4,Silo 2,superior,14.289995765489959,10.565391815047732,3.7380292886954707
2025-06-01 00:00:00,5,Silo 2,medio,14.420994239658981,9.908820649975558,3.2479078602184446
2025-06-01 00:00:00,6,Silo 2,inferior,13.96956885843054,8.353516360902518,3.9835387479733364
2025-06-01 00:00:00,7,Silo 3,superior,14.928864438933061,9.82987649232585,2.5118182478564752
2025-06-01 00:00:00,8,Silo 3,medio,13.820209859874431,11.21093077836569,3.9163858265298153
2025-06-01 00:00:00,9,Silo 3,inferior,11.495531038802886,9.540806520640317,2.519977851019098
2025-06-01 12:00:00,1,Silo 1,superior,10.789626882000064,9.241362888464824,3.8908614699900834
2025-06-01 12:00:00,2,Silo 1,medio,10.52441694564887,10.41143726998343,2.766440716167172
2025-06-01 12:00:00,3,Silo 1,inferior,11.140384038717864,8.040060548264346,2.6412120725776393
2025-06-01 12:00:00,4,Silo 2,superior,14.311360990574626,9.81945946289127,3.4701298449359443
2025-06-01 12:00:00,5,Silo 2,medio,12.529130072083442,11.249599586255828,2.656234273427809
2025-06-01 12:00:00,6,Silo 2,inferior,11.487599631428168,11.48128190616675,3.774919822630353
2025-06-01 12:00:00,7,Silo 3,superior,11.424231252683999,10.361593176108325,3.7745176603654387
2025-06-01 12:00:00,8,Silo 3,medio,14.618179437763857,9.95398885053284,3.1379083326116826
2025-06-01 12:00:00,9,Silo 3,inferior,11.930486068231382,11.557952966198203,3.5486127494189006
2025-06-02 00:00:00,1,Silo 1,superior,5.0921453398453025,,
2025-06-02 00:00:00,2,Silo 1,medio,,,3.8926290197560744
2025-06-02 00:00:00,3,Silo 1,inferior,,,
2025-06-02 00:00:00,4,Silo 2,superior,14.873509683729939,9.573136110385882,2.810193793749246
2025-06-02 00:00:00,5,Silo 2,medio,11.944507167161222,9.388873283899192,3.6558681583766024
